Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;displayprotection;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;tbench;batlife;batstandby1;battalktime1;featuresother;bodyother;batmusicplayback1;gprstext;edge;sar-us;sar-eu
https://www.gsmarena.com/asus_fonepad-5329.php;https://fdn2.gsmarena.com/vv/bigpic/asus-fonepad-new.jpg;Asus Fonepad;Released 2013, April;340g, 10.4mm thickness;Android 4.1;8GB/32GB storage, microSDHC;48;0.1%;2,052,871 hits;"7.0""";800x1280 pixels;1 GB RAM;Intel Atom Z2420;4270 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2013, February. Released 2013, April;Discontinued;196.4 x 120.1 x 10.4 mm (7.73 x 4.73 x 0.41 in);340 g (11.99 oz);;Micro-SIM;IPS LCD capacitive touchscreen, 16M colors;7.0 inches, 142.1 cm(~60.2% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);;;Android 4.1 (Jelly Bean);Intel Atom Z2420 / Intel Atom Z2460;1.2 GHz / 1.6 GHz;PowerVR SGX540;microSDHC (dedicated slot);8GB 1GB RAM, 16GB 1GB RAM;;3.15 MP, AF (selected markets only);;720p;1.2 MP;;;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;Yes, with A-GPS, GLONASS;;No;microUSB 2.0;Accelerometer, proximity, compass;Non-removable Li-Ion 4270 mAh battery (16 Wh);Titanium Gray, Champagne Gold;;About 260 EUR;;;;Up to 9 h (multimedia);;;;;;;
https://www.gsmarena.com/asus_padfone_infinity-5328.php;https://fdn2.gsmarena.com/vv/bigpic/asus-padfone-infinity.jpg;Asus PadFone Infinity;Released 2013, April;141g, 8.9mm thickness;Android 4.1.2, up to 4.4.2;32GB/64GB storage, no card slot;148;N/A;1,171,767 hits;"5.0""";1080x1920 pixels;2 GB RAM;Snapdragon 600;2400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 7, 20;HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps;2013, February. Released 2013, April;Discontinued;143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in);141 g (4.97 oz);;Nano-SIM;Super IPS+ LCD capacitive touchscreen, 16M colors;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Corning Gorilla Glass;;Android 4.1.2 (Jelly Bean), upgradable to 4.4.2 (KitKat);Qualcomm APQ8064T Snapdragon 600;Quad-core 1.7 GHz Krait;Adreno 320;No;32GB 2GB RAM, 64GB 2GB RAM;;13 MP, AF;LED flash;1080p@30fps;2 MP;;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP;Yes, with A-GPS, GLONASS;Yes;FM radio;microUSB 2.0 (SlimPort TV-out), USB On-The-Go;Accelerometer, gyro, proximity, compass;Non-removable Li-Po 2400 mAh battery;Titanium Gray, Champagne Gold, Hot Pink;;About 1000 EUR;;;Up to 410 h;Up to 19 h;;Padfone Station with 10.1 inches IPS display, 1920 x 1200 pixels, 5000 mAh battery, 1 MP front camera. 264.6 x 181.6 x 10.7mm, 530g.;;;;;
https://www.gsmarena.com/asus_memo_pad_smart_10-5331.php;https://fdn2.gsmarena.com/vv/bigpic/asus-memo-pad-smart-10.jpg;Asus Memo Pad Smart 10;Released 2013, May;580g, 9.9mm thickness;Android 4.1;16GB storage, microSDHC;9;0.1%;374,509 hits;"10.1""";1280x800 pixels;1 GB RAM;Nvidia Tegra 3 T33;;N/A;;;;2013, February. Released 2013, May;Discontinued;263 x 180.8 x 9.9 mm (10.35 x 7.12 x 0.39 in);580 g (1.28 lb);;No;LED-backlit IPS LCD capacitive touchscreen, 16M colors;10.1 inches, 295.8 cm(~62.2% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);;;Android 4.1 (Jelly Bean);Nvidia Tegra 3 T33;Quad-core 1.2 GHz;ULP GeForce;microSDHC (dedicated slot);16GB 1GB RAM;;5 MP, AF;;Yes;1.2 MP;;;SRS audio;Wi-Fi 802.11 a/b/g/n, dual band;3.0, A2DP, EDR;Yes;;No;microUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Po battery (19 Wh);Crystal White, Midnight Blue, Fuchsia Pink;;About 230 EUR;;;;Up to 8 h 30 min (multimedia);HDMI port;;;No;No;;
https://www.gsmarena.com/asus_memo_pad_me172v-5249.php;https://fdn2.gsmarena.com/vv/bigpic/asus-memo-pad-me172v.jpg;Asus Memo Pad ME172V;Released 2013, January;370g, 11.2mm thickness;Android 4.1;8GB/16GB storage, microSDHC;19;0.1%;1,236,323 hits;"7.0""";600x1024 pixels;1 GB RAM;VIA WM8950;4270 mAh Li-Po;N/A;;;;2013, January. Released 2013, January;Discontinued;196.2 x 119.2 x 11.2 mm (7.72 x 4.69 x 0.44 in);370 g (13.05 oz);;No;LED-backlit LCD, capacitive touchscreen;7.0 inches, 137.9 cm(~59.0% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;;Android 4.1 (Jelly Bean);VIA WM8950;1.0 GHz;Mali-400;microSDHC (dedicated slot);8GB 1GB RAM, 16GB 1GB RAM;;1 MP;;720p;No;;;;Wi-Fi 802.11 b/g/n;No;No;;No;microUSB 2.0;Accelerometer;Non-removable Li-Po 4270 mAh battery (16 Wh);Sugar White, Titanium Gray, Cherry Pink;;About 110 EUR;;;;Up to 7 h (multimedia);;;;No;No;;
https://www.gsmarena.com/asus_google_nexus_7_cellular-5091.php;https://fdn2.gsmarena.com/vv/bigpic/asus-google-nexus-7-new.jpg;Asus Google Nexus 7 Cellular;Released 2012, November;347g, 10.5mm thickness;Android 4.1, up to 5.1.1;16GB/32GB storage, no card slot;92;N/A;1,155,059 hits;"7.0""";800x1280 pixels;1 GB RAM;Nvidia Tegra 3;4325 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2012, October. Released 2012, November;Discontinued;198.5 x 120 x 10.5 mm (7.81 x 4.72 x 0.41 in);347 g (12.24 oz);;Micro-SIM;LED-backlit IPS LCD capacitive touchscreen, 16M colors;7.0 inches, 142.1 cm(~59.6% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);Corning Gorilla Glass;;Android 4.1 (Jelly Bean), upgradable to 5.1.1 (Lollipop);Nvidia Tegra 3;Quad-core 1.2 GHz Cortex-A9;ULP GeForce;No;16GB 1GB RAM, 32GB 1GB RAM;;1.2 MP;;720p;No;;;;Wi-Fi 802.11 b/g/n, hotspot;3.0;Yes;Yes;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion 4325 mAh battery (16 Wh);Black;;About 230 EUR;;;Up to 300 h;Up to 9 h (multimedia);Google WalletMP4/H.264 playerMP3/WAV/eAAC+/WMA playerPhoto/video editorDocument viewer;;;;;;
https://www.gsmarena.com/asus_vivotab_rt_tf600t-5083.php;https://fdn2.gsmarena.com/vv/bigpic/asus-vivotab-rt.jpg;Asus VivoTab RT TF600T;Released 2012, November;525g, 8.3mm thickness;Microsoft Windows RT;32GB/64GB storage, microSDXC;21;0.1%;437,906 hits;"10.1""";1366x768 pixels;2 GB RAM;Nvidia Tegra 3 T30;;N/A;;;;2012, October. Released 2012, November;Discontinued;262.5 x 170.9 x 8.3 mm (10.33 x 6.73 x 0.33 in);525 g (1.16 lb);;No;Super IPS+ LCD capacitive touchscreen, 16M colors;10.1 inches, 281.1 cm(~62.7% screen-to-body ratio);1366 x 768 pixels, 16:9 ratio (~155 ppi density);Corning Gorilla Glass;TruVivid technology;Microsoft Windows RT;Nvidia Tegra 3 T30;Quad-core 1.3 GHz Cortex-A9;ULP GeForce;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 2GB RAM;;8 MP, AF;LED flash;1080p@30fps;2 MP;;;SonicMaster sound technology;Wi-Fi 802.11 b/g/n;4.0, A2DP;No;Yes;No;USB 2.0, USB On-The-Go;Accelerometer, gyro, compass;Non-removable Li-Po battery (25 Wh);Gray;;About 420 EUR;;;;Up to 9 h;Asus WebStorage (32 GB)HDMI portMP4/DivX/Xvid/H.264 playerMP3/WAV/eAAC+ playerPhoto viewer/editorDocument editor/viewer;;;No;No;;
https://www.gsmarena.com/asus_padfone_2-5017.php;https://fdn2.gsmarena.com/vv/bigpic/asus-padfone-2-a68-new.jpg;Asus PadFone 2;Released 2012, December;135g, 9mm thickness;Android 4.0, up to 4.4.2;16GB/32GB/64GB storage, no card slot;157;0.1%;1,725,385 hits;"4.7""";720x1280 pixels;2 GB RAM;Snapdragon S4 Pro;2140 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;3, 7, 20;HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps;2012, October. Released 2012, December;Discontinued;137.9 x 68.9 x 9 mm (5.43 x 2.71 x 0.35 in);135 g (4.76 oz);;Micro-SIM;Super IPS+ LCD capacitive touchscreen, 16M colors;4.7 inches, 60.9 cm(~64.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~312 ppi density);Corning Gorilla Glass;;Android 4.0 (Ice Cream Sandwich), upgradable to 4.4.2 (KitKat);Qualcomm APQ8064 Snapdragon S4 Pro;Quad-core 1.5 GHz Krait;Adreno 320;No;16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM;;13 MP, AF;LED flash;1080p@30fps, 720p@60fps;1.2 MP;;720p;;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP;Yes, with A-GPS;Yes;FM radio;microUSB 2.0 (MHL TV-out), USB On-The-Go;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion 2140 mAh battery;Black, White;;About 450 EUR;;;Up to 352 h;Up to 16 h;ASUS WebStorage (50 GB storage)MP3/WAV/eAAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editor;Optional Padfone Station with 10.1 inches IPS display, 1280 x 800 pixels @ 514 g, 5000 mAh battery.;;;;;
https://www.gsmarena.com/asus_google_nexus_7-4850.php;https://fdn2.gsmarena.com/vv/bigpic/asus-google-nexus-7-new.jpg;Asus Google Nexus 7;Released 2012, July;340g, 10.5mm thickness;Android 4.1.2, up to 5.1.1;8GB/16GB/32GB storage, no card slot;219;0.9%;6,930,578 hits;"7.0""";800x1280 pixels;1 GB RAM;Nvidia Tegra 3;4325 mAh Li-Ion;N/A;;;;2012, June. Released 2012, July;Discontinued;198.5 x 120 x 10.5 mm (7.81 x 4.72 x 0.41 in);340 g (11.99 oz);;No;LED-backlit IPS LCD capacitive touchscreen, 16M colors;7.0 inches, 142.1 cm(~59.6% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);Corning Gorilla Glass;;Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop);Nvidia Tegra 3;Quad-core 1.2 GHz Cortex-A9;ULP GeForce;No;8GB 1GB RAM, 16GB 1GB RAM, 32GB 1GB RAM;;1.2 MP;;720p;No;;;;Wi-Fi 802.11 b/g/n;3.0;Yes;Yes;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion 4325 mAh battery (16 Wh);Black;;About 150 EUR;;;;Up to 10 h (multimedia);;;;No;No;;1.39 W/kg (body)
https://www.gsmarena.com/asus_transformer_pad_infinity_700_lte-4605.php;https://fdn2.gsmarena.com/vv/bigpic/asus-transformer-infinity.jpg;Asus Transformer Pad Infinity 700 LTE;Released 2012, Q4;625g, 8.4mm thickness;Android 4.0, up to 4.2.1;32GB/64GB storage, microSDHC;21;N/A;401,199 hits;"10.1""";1920x1200 pixels;1 GB RAM;Snapdragon S4 Plus;;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;LTE (unspecified);HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps;2012, February. Released 2012, Q4;Discontinued;262.9 x 180.8 x 8.4 mm (10.35 x 7.12 x 0.33 in);625 g (1.38 lb);;Mini-SIM;Super IPS+ LCD, capacitive touchscreen, 16M colors;10.1 inches, 295.8 cm(~62.2% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Corning Gorilla Glass 2;ASUS Waveshare UI;Android 4.0 (Ice Cream Sandwich), upgradable to 4.2.1 (Jelly Bean);Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.5 GHz Krait;Adreno 225;microSDHC (dedicated slot);32GB 1GB RAM, 64GB 1GB RAM;;8 MP, AF;LED flash;1080p@30fps;2 MP;;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;3.0, A2DP, EDR;Yes, with A-GPS;;No;2.0;Accelerometer, gyro, compass;Non-removable Li-Po battery (25 Wh);Amethyst Gray, Champagne Gold;;About 430 EUR;;;;Up to 10 h (multimedia);HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerOrganizerDocument editorPhoto viewer/editorVoice memo/dialPredictive text input;Optional mobile dock with standard QWERTY keyboard and trackpad;;;;;
https://www.gsmarena.com/asus_transformer_pad_infinity_700_3g-4604.php;https://fdn2.gsmarena.com/vv/bigpic/asus-transformer-infinity.jpg;Asus Transformer Pad Infinity 700 3G;Released 2012, Q3;598g, 8.5mm thickness;Android 4.0;32GB/64GB storage, microSDHC;19;N/A;362,639 hits;"10.1""";1920x1200 pixels;1 GB RAM;Snapdragon S4 Plus;;GSM 850 / 900 / 1800 / 1900;HSDPA;;HSPA 21.1/5.76 Mbps;2012, February. Released 2012, Q3;Discontinued;263 x 180.8 x 8.5 mm (10.35 x 7.12 x 0.33 in);598 g (1.32 lb);;Mini-SIM;Super IPS+ LCD, capacitive touchscreen, 16M colors;10.1 inches, 295.8 cm(~62.2% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Corning Gorilla Glass 2;ASUS Waveshare UI;Android 4.0 (Ice Cream Sandwich);Qualcomm MSM8260A Snapdragon S4 Plus;Dual-core 1.5 GHz Krait;Adreno 225;microSDHC (dedicated slot);32GB 1GB RAM, 64GB 1GB RAM;;8 MP, AF;LED flash;1080p@30fps;2 MP;;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;3.0, A2DP;Yes, with A-GPS;;No;2.0;Accelerometer, gyro, compass;Non-removable Li-Po battery (25 Wh);Amethyst Gray, Champagne Gold;;About 430 EUR;;;;Up to 10 h (multimedia);HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerOrganizerDocument editorPhoto viewer/editorVoice memo/dialPredictive text input;Optional mobile dock with standard QWERTY keyboard and trackpad;;Yes;Yes;;
